Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,11,704000,114.73,114.55,0.04,2369.36,100%
write,write,12,768000000,930.67,458.33,0.04,2584753.32,100%
write,write,11,11000000000,11044.64,337.64,0.04,37021206.42,100%
list,list,18,0,21.06,21.06,0.06,0,100%
delete,delete,23,0,96.96,96.96,0.08,0,100%
read,read,46,2944000,49.61,49.43,0.15,9908.22,100%
read,read,34,2176000000,606.76,72.97,0.11,7323467.74,100%
read,read,19,19000000000,7245.68,62.37,0.06,63945720.18,100%
write,write,13,832000,78.62,78.62,0.04,2797.99,100%
write,write,10,640000000,883.2,351.6,0.03,2152302.29,100%
write,write,7,7000000000,11167,450.43,0.02,23540806.31,100%
list,list,18,0,17,17,0.06,0,100%
delete,delete,19,0,64.37,64.37,0.06,0,100%
read,read,44,2816000,55.09,54.91,0.15,9470.13,100%
read,read,45,2880000000,692,81.22,0.15,9685360.31,100%
read,read,22,22000000000,7919.23,188.95,0.07,73985391.25,100%
write,write,26,1664000,115.42,115.38,0.09,5654.65,100%
write,write,15,960000000,818.07,289.87,0.05,3262299.04,100%
write,write,7,7000000000,11309.29,419.14,0.02,23787597.15,100%
list,list,17,0,29.82,29.82,0.06,0,100%
delete,delete,19,0,60.47,60.47,0.06,0,100%
read,read,43,2752000,40.58,40.4,0.15,9351.92,100%
read,read,56,3584000000,551.52,57.91,0.19,12179249.74,100%
read,read,20,20000000000,8276.25,77.9,0.07,67964563.28,100%
write,write,23,1472000,187.17,187.13,0.08,4983.38,100%
write,write,14,896000000,1046.93,427.79,0.05,3033360.19,100%
write,write,6,6000000000,11082.83,298.5,0.02,20312679.85,100%
list,list,17,0,22.12,22.12,0.06,0,100%
delete,delete,14,0,65.14,65.14,0.05,0,100%
read,read,45,2880000,42.67,42.49,0.15,9750.09,100%
read,read,41,2624000000,650.05,69.9,0.14,8883411.99,100%
read,read,22,22000000000,8183.64,117.41,0.07,74479826.12,100%
write,write,16,1024000,47.62,47.38,0.05,3447.51,100%
write,write,22,1408000000,943.23,445.86,0.07,4740325.76,100%
write,write,18,18000000000,7221.44,480.89,0.06,60600755.49,100%
list,list,30,0,11.8,11.8,0.1,0,100%
delete,delete,23,0,60.13,60.13,0.08,0,100%
read,read,66,4224000,28.92,28.73,0.22,14220.98,100%
read,read,53,3392000000,401.4,40.04,0.18,11419875.7,100%
read,read,20,20000000000,6029.6,59.8,0.07,67334172.77,100%
write,write,28,1792000,74.61,74.43,0.09,5976.22,100%
write,write,26,1664000000,614.65,324.27,0.09,5549348.85,100%
write,write,13,13000000000,6895.85,495.85,0.04,43354287.91,100%
list,list,31,0,19.13,19.13,0.1,0,100%
delete,delete,24,0,102.42,102.42,0.08,0,100%
read,read,41,2624000,17.93,17.66,0.14,8750.9,100%
read,read,47,3008000000,453.77,50.79,0.16,10031515.23,100%
read,read,30,30000000000,5566.43,66.17,0.1,100048356.71,100%
write,write,24,1536000,130.08,130.08,0.08,5155.35,100%
write,write,20,1280000000,962.8,364.45,0.07,4296123.76,100%
write,write,10,10000000000,7519.7,210.9,0.03,33563466.84,100%
list,list,20,0,15.3,15.3,0.07,0,100%
delete,delete,25,0,44.32,44.32,0.08,0,100%
read,read,68,4352000,22.03,21.82,0.23,14606.82,100%
read,read,67,4288000000,413.55,46.3,0.22,14392014.58,100%
read,read,29,29000000000,5852.28,73.38,0.1,97334053.83,100%
write,write,21,1344000,52.48,52.38,0.07,4504.13,100%
write,write,28,1792000000,576.14,230,0.09,6005502.81,100%
write,write,9,9000000000,8474.67,572.11,0.03,30161565.45,100%
list,list,36,0,17.53,17.53,0.12,0,100%
delete,delete,21,0,45.62,45.62,0.07,0,100%
read,read,56,3584000,30.84,30.55,0.19,12011.01,100%
read,read,60,3840000000,437.67,59.32,0.2,12868934.59,100%
read,read,33,33000000000,5311.33,79.85,0.11,110592406.66,100%
