Timestamp,Op-Count,,,,,,,,Byte-Count,,,,,,,,Avg-ResTime,,,,,,,,Avg-ProcTime,,,,,,,,Throughput,,,,,,,,Bandwidth,,,,,,,,Succ-Ratio,,,,,,,,Version-Info,,
,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,Min-Version,Version,Max-Version
08:48:23,3,2,0,1,3,4,5,0,192000,128000000,0,0,0,256000,320000000,0,108.33,1091.5,N/A,17,44.33,25.25,463,N/A,108.33,351.5,N/A,17,44.33,25,78.2,N/A,0.59,0.39,0,0.2,0.59,0.79,0.98,0,37765.54,25177025.96,0,0,0,50354.05,62942564.91,0,100%,100%,N/A,100%,100%,100%,100%,N/A,0,0,0
08:48:28,22,21,12,37,23,61,67,38,1408000,1344000000,12000000000,0,0,3904000,4288000000,38000000000,90.86,917.38,7590.33,51.76,71.87,45.39,558.52,6869.84,90.77,356.71,419.17,51.76,71.87,45.25,94.13,110.87,2.92,2.89,1.43,5.06,3.05,8.35,9.13,5.13,186920.84,184887943.96,1434928863.23,0,0,534159.32,584200639.86,5134322304.86,100%,100%,100%,100%,100%,100%,100%,100%,1,1,1
08:48:33,19,15,10,18,27,55,51,30,1216000,960000000,10000000000,0,0,3520000,3264000000,30000000000,107.26,781.2,9414.2,60.56,79.81,50.93,569.04,8249.87,107.05,272.27,381.6,60.56,79.81,50.82,78.55,82.6,2.91,2.55,1.53,3.03,4.36,8.79,8.1,4.98,186349.19,163046239.24,1532033449.47,0,0,562421.5,518603081.53,4980125165.86,100%,100%,100%,100%,100%,100%,100%,100%,2,2,2
08:48:38,20,19,16,31,39,67,66,30,1280000,1216000000,16000000000,0,0,4288000,4224000000,30000000000,1160.3,1831.26,8972.62,640.65,65.79,192.45,2528.85,8599.33,1160.15,340.63,434.12,640.65,65.79,189.27,2010.18,104.77,3.57,3.47,2.95,5.63,7.41,12.32,11.79,6.07,228779.97,222336177.77,2948843005.46,0,0,788489.88,754544286.42,6070540299.32,100%,100%,100%,100%,100%,100%,100%,100%,3,3,3
08:48:43,16,14,8,33,19,54,56,32,1024000,896000000,8000000000,0,0,3456000,3584000000,32000000000,83.38,986.36,7727.12,40.73,58.58,48.59,585.21,7681.75,83.19,393.43,289.5,40.7,58.58,48.43,79.37,87.19,3.24,2.64,1.73,6.51,4.17,11.29,11.53,6.3,207405.55,169230833.68,1731557564.04,0,0,722869.39,737623359.59,6300845388.59,100%,100%,100%,100%,100%,100%,100%,100%,4,4,4
08:48:48,31,27,13,35,24,85,70,43,1984000,1728000000,13000000000,0,0,5440000,4480000000,43000000000,125,871.41,9696.92,892.37,67.38,300.14,685.96,8410.86,124.9,324.07,490.08,892.37,67.38,299.89,79.61,533.12,6.69,5.42,2.59,7.19,4.7,16.9,13.93,8.55,428302.4,347079727.55,2594837292.84,0,0,1081813.49,891775431.4,8546202803.15,100%,100%,100%,100%,100%,100%,100%,100%,5,5,5
08:48:53,15,20,12,22,26,55,60,28,960000,1280000000,12000000000,0,0,3520000,3840000000,28000000000,201.6,946.25,8842.42,37.5,73,55.15,1138.93,7384.93,201.53,379,240,37.5,73,54.95,550.67,95.32,2.73,3.76,2.3,3.97,5.07,10.57,11.39,5.36,174454.58,240575790.22,2297297048.06,0,0,676517.85,729219220.62,5364100116.55,100%,100%,100%,100%,100%,100%,100%,100%,6,6,6
08:48:58,26,26,10,33,29,80,74,40,1664000,1664000000,10000000000,0,0,5120000,4736000000,40000000000,215.65,1034.04,9978.4,44.64,68.79,84.89,609.61,7377.68,215.62,440.58,509.2,44.64,68.79,77.09,75.43,123.85,5.31,5.27,2.07,7.09,5.82,16.38,15.39,8.11,339647.05,337239159.64,2072984080.67,0,0,1048581.45,984773490.3,8113865454.79,100%,100%,100%,100%,100%,100%,100%,100%,7,7,7
08:49:03,22,22,8,20,20,52,63,33,1408000,1408000000,8000000000,0,0,3328000,4032000000,33000000000,191.77,1061.95,9946.38,50.95,65.85,67.79,847.4,8660.15,191.73,351.05,472.75,50.95,65.85,67.6,327.98,671.61,4.66,5.05,1.85,4,4.07,10.47,13.28,6.57,298515.41,323437721.33,1851272576.87,0,0,669952.55,850222230.98,6569325400.47,100%,100%,100%,100%,100%,100%,100%,100%,8,8,8
08:49:08,22,18,14,23,27,58,63,34,1408000,1152000000,14000000000,0,0,3712000,4032000000,34000000000,346.14,1420.67,9671.07,39.26,70.41,44.41,689.21,7293.88,345.95,372.39,394.36,39.26,70.41,44.22,99.75,96.24,5.08,3.74,2.96,5.21,6.16,12.72,13.46,7.1,324809.78,239637339.54,2955333014.42,0,0,814379.14,861604354.44,7097560867.62,100%,100%,100%,100%,100%,100%,100%,100%,9,9,9
