Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,41,2624000,69.88,69.85,0.07,4403.64,100%
write,write,42,2688000000,910.83,392.6,0.07,4511043.5,100%
write,write,18,18000000000,11686.72,427.72,0.03,30207880.56,100%
list,list,60,0,58.92,58.9,0.1,0,100%
delete,delete,57,0,96.26,96.26,0.1,0,100%
read,read,116,7424000,26.79,26.66,0.19,12459.07,100%
read,read,90,5760000000,484.59,53.21,0.15,9666521.78,100%
read,read,44,44000000000,6559.07,84.25,0.07,73841485.82,100%
write,write,25,1600000,79.6,79.52,0.04,2676.97,100%
write,write,19,1216000000,800.74,211.21,0.03,2034496.09,100%
write,write,13,13000000000,13514.46,1048.62,0.02,21750369.34,100%
list,list,32,0,18.28,18.28,0.05,0,100%
delete,delete,33,0,55.18,55.18,0.06,0,100%
read,read,92,5888000,48.13,45.74,0.15,9851.24,100%
read,read,73,4672000000,552.32,101.47,0.12,7816748.12,100%
read,read,51,51000000000,7012.16,65.55,0.09,85328372.02,100%
write,write,34,2176000,91.65,91.56,0.06,3631.52,100%
write,write,49,3136000000,996.86,492.84,0.08,5233662.33,100%
write,write,13,13000000000,11016.69,383.85,0.02,21695666.54,100%
list,list,59,0,25.64,25.64,0.1,0,100%
delete,delete,63,0,62.54,62.54,0.11,0,100%
read,read,131,8384000,27.98,27.83,0.22,13992.04,100%
read,read,127,8128000000,465.01,81.25,0.21,13564798.28,100%
read,read,47,47000000000,7144.87,72.34,0.08,78438179.03,100%
write,write,33,2112000,70.45,70.42,0.06,3545.6,100%
write,write,35,2240000000,814.17,296.46,0.06,3760484.03,100%
write,write,15,15000000000,11420,659.27,0.03,25181812.69,100%
list,list,37,0,57,57,0.06,0,100%
delete,delete,48,0,59.44,59.44,0.08,0,100%
read,read,96,6144000,28.96,28.81,0.16,10314.47,100%
read,read,99,6336000000,645.61,73.31,0.17,10636797.68,100%
read,read,46,46000000000,6996.96,68.52,0.08,77224225.58,100%
write,write,45,2880000,77.22,77.18,0.08,4847.15,100%
write,write,40,2560000000,769.62,386.65,0.07,4308581.99,100%
write,write,22,22000000000,9599.45,594.09,0.04,37026876.46,100%
list,list,43,0,63,63,0.07,0,100%
delete,delete,52,0,43.4,43.4,0.09,0,100%
read,read,125,8000000,23.39,21.5,0.21,13464.32,100%
read,read,112,7168000000,400.62,35.1,0.19,12064029.57,100%
read,read,61,61000000000,4851.34,49.97,0.1,102665430.19,100%
write,write,37,2368000,62.03,62,0.06,3961.5,100%
write,write,42,2688000000,635.4,345.45,0.07,4496840.67,100%
write,write,17,17000000000,10660.59,607.82,0.03,28439840.54,100%
list,list,58,0,13.19,13.19,0.1,0,100%
delete,delete,45,0,44.76,44.76,0.08,0,100%
read,read,128,8192000,40.84,39.07,0.21,13704.66,100%
read,read,99,6336000000,345.96,35,0.17,10599695.86,100%
read,read,63,63000000000,5480.17,55.84,0.11,105394703.16,100%
write,write,48,3072000,139.81,139.75,0.08,5151.05,100%
write,write,40,2560000000,828.02,298.7,0.07,4292543.55,100%
write,write,19,19000000000,8336.95,564,0.03,31858721.66,100%
list,list,54,0,47.8,47.8,0.09,0,100%
delete,delete,43,0,102.37,102.37,0.07,0,100%
read,read,145,9280000,28.46,28.24,0.24,15560.47,100%
read,read,146,9344000000,376.34,36.92,0.24,15667783.96,100%
read,read,67,67000000000,4956.09,47,0.11,112343913.22,100%
write,write,55,3520000,90.27,90.16,0.09,5947.34,100%
write,write,40,2560000000,1020.35,564.5,0.07,4325339.9,100%
write,write,11,11000000000,9893.64,465.45,0.02,18585444.89,100%
list,list,46,0,13.98,13.98,0.08,0,100%
delete,delete,54,0,51.76,51.76,0.09,0,100%
read,read,123,7872000,38.87,38.67,0.21,13300.42,100%
read,read,125,8000000000,350.56,43.93,0.21,13516687.2,100%
read,read,71,71000000000,5424.99,62.17,0.12,119960598.86,100%
write,write,12,768000,2718.08,2718,0.02,1301.63,100%
write,write,14,896000000,4296.57,860.29,0.02,1518572,100%
write,write,6,6000000000,11322.33,135.33,0.01,10169008.93,100%
list,list,30,0,1804.83,1804.83,0.05,0,100%
delete,delete,28,0,2020.68,2020.68,0.05,0,100%
read,read,38,2432000,2021.26,2020.84,0.06,4121.84,100%
read,read,39,2496000000,2787.38,2367.85,0.07,4230307.71,100%
read,read,20,20000000000,6653.35,57.75,0.03,33896696.43,100%
write,write,12,768000,2657.67,2657.42,0.02,1299.9,100%
write,write,7,448000000,7389.86,1344.14,0.01,758275.87,100%
write,write,8,8000000000,18444.5,1081.88,0.01,13540640.54,100%
list,list,25,0,2237.88,2237.88,0.04,0,100%
delete,delete,12,0,6443.25,6443.25,0.02,0,100%
read,read,33,2112000,1684.36,1683.97,0.06,3574.73,100%
read,read,27,1728000000,3505.44,3167.33,0.05,2924778.36,100%
read,read,12,12000000000,6344.17,841.08,0.02,20310960.81,100%
write,write,6,384000,2117.17,2117,0.01,652.44,100%
write,write,12,768000000,7284.67,359.83,0.02,1304884.14,100%
write,write,3,3000000000,12157.67,540.33,0.01,5097203.67,100%
list,list,12,0,5855,5855,0.02,0,100%
delete,delete,17,0,542.06,542.06,0.03,0,100%
read,read,26,1664000,2862,2861.58,0.04,2827.25,100%
read,read,36,2304000000,3094.56,2681.92,0.06,3914652.42,100%
read,read,18,18000000000,10370.22,4375.44,0.03,30583222.04,100%
write,write,10,640000,2227.7,2227.7,0.02,1067.52,100%
write,write,13,832000000,937,446.31,0.02,1387769.94,100%
write,write,8,8000000000,17511.88,530.88,0.01,13343941.77,100%
list,list,10,0,49.6,49.6,0.02,0,100%
delete,delete,8,0,8451.38,8451.38,0.01,0,100%
read,read,30,1920000,2147.63,2147.07,0.05,3202.55,100%
read,read,28,1792000000,4643.11,4249.32,0.05,2989042.96,100%
read,read,19,19000000000,8548.16,1581.11,0.03,31691861.7,100%
write,write,12,768000,88.5,88.33,0.02,1303.07,100%
write,write,12,768000000,5205.42,224.75,0.02,1303066.45,100%
write,write,10,10000000000,10277.8,317.3,0.02,16967011.04,100%
list,list,12,0,1250.5,1250.5,0.02,0,100%
delete,delete,8,0,101.88,101.88,0.01,0,100%
read,read,39,2496000,4250.62,4250.21,0.07,4234.97,100%
read,read,41,2624000000,1809.76,1353.71,0.07,4452143.7,100%
read,read,21,21000000000,7965.24,2335.05,0.04,35630723.18,100%
write,write,10,640000,5666.3,5666.2,0.02,1077.28,100%
write,write,15,960000000,834.13,374.33,0.03,1615922.22,100%
write,write,4,4000000000,19469.75,820,0.01,6733009.25,100%
list,list,17,0,6326.88,6326.88,0.03,0,100%
delete,delete,14,0,1378.43,1378.43,0.02,0,100%
read,read,29,1856000,2287.38,2286.9,0.05,3124.12,100%
read,read,32,2048000000,1979.25,1565.66,0.05,3447300.74,100%
read,read,18,18000000000,10583.28,3298.06,0.03,30298541.63,100%
write,write,16,1024000,1554.69,1554.62,0.03,1724.47,100%
write,write,13,832000000,1278.46,833,0.02,1401131.01,100%
write,write,8,8000000000,10734.5,385.62,0.01,13472413.55,100%
list,list,23,0,1564.87,1564.87,0.04,0,100%
delete,delete,29,0,1856.59,1856.59,0.05,0,100%
read,read,48,3072000,3686.58,3686.15,0.08,5173.41,100%
read,read,27,1728000000,2764.26,2366.85,0.05,2910041.33,100%
read,read,12,12000000000,10416.5,3881.67,0.02,20208620.32,100%
write,write,9,576000,147.44,147.44,0.02,961.01,100%
write,write,11,704000000,6802,381.91,0.02,1174568.59,100%
write,write,6,6000000000,10442.33,743.83,0.01,10010527.74,100%
list,list,20,0,759.85,759.85,0.03,0,100%
delete,delete,13,0,4503.31,4503.31,0.02,0,100%
read,read,42,2688000,1910.62,1910.12,0.07,4484.72,100%
read,read,37,2368000000,3707.86,3270.24,0.06,3950821.61,100%
read,read,15,15000000000,11292.07,5046.13,0.03,25026319.35,100%
write,write,38,2432000,264.05,263.89,0.06,4093.37,100%
write,write,42,2688000000,954.31,370.07,0.07,4524254.75,100%
