Timestamp,Op-Count,,,,,,,,Byte-Count,,,,,,,,Avg-ResTime,,,,,,,,Avg-ProcTime,,,,,,,,Throughput,,,,,,,,Bandwidth,,,,,,,,Succ-Ratio,,,,,,,,Version-Info,,
,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,1-write-write,2-write-write,3-write-write,1-list-list,1-delete-delete,1-read-read,2-read-read,3-read-read,Min-Version,Version,Max-Version
08:54:59,7,5,2,15,6,22,34,5,448000,320000000,2000000000,0,0,1408000,2176000000,5000000000,39,698.2,4658.5,15.8,42.17,45.91,419.32,3460.2,39,249.8,122.5,15.8,42.17,45.55,59.35,19,1.36,0.97,0.39,2.91,1.17,4.28,6.61,0.97,87162.2,62299088.78,391839603.46,0,0,273971.91,422876793.81,974763010.4,100%,100%,100%,100%,100%,100%,100%,100%,0,0,0
08:55:04,23,26,17,37,34,72,72,44,1472000,1664000000,17000000000,0,0,4608000,4608000000,44000000000,54.83,530.19,6416.88,28.65,154.62,13.82,386.65,6222.59,54.7,174.42,248.82,28.62,154.62,13.51,57.42,69.98,3.02,3.83,2.48,5.29,4.88,10.15,10.31,5.9,193336.82,245032960.89,2483188726.21,0,0,649679.86,659904909.58,5895536702.83,100%,100%,100%,100%,100%,100%,100%,100%,1,1,1
08:55:09,31,42,14,46,56,104,114,50,1984000,2688000000,14000000000,0,0,6656000,7296000000,50000000000,521.19,630.57,8086.86,12.11,243.68,18.88,478.11,6613.94,521.06,223.07,299.79,12.11,243.68,16.71,52.02,78.46,6.18,7.94,2.27,7.87,10.27,18.3,21.22,9.28,395378.42,508386459.63,2266586818.57,0,0,1171483.22,1357805722.87,9281232475.21,100%,100%,100%,100%,100%,100%,100%,100%,2,2,2
08:55:14,14,17,11,27,26,61,56,35,896000,1088000000,11000000000,0,0,3904000,3584000000,35000000000,187.29,791.76,7701.73,36.81,46.04,20.05,485.2,6207.91,187.21,284.41,391.55,36.81,46.04,19.82,44.38,68.26,2.7,3.21,2.2,5.11,4.99,11.54,11,6.91,173105.2,205247530.86,2202697281.32,0,0,738369.73,703908926.13,6905768148.48,100%,100%,100%,100%,100%,100%,100%,100%,3,3,3
08:55:19,23,24,15,42,45,72,100,42,1472000,1536000000,15000000000,0,0,4608000,6400000000,42000000000,115.96,1437.25,7899.4,159.14,484.53,25.71,535.27,6975.74,115.91,266.88,330.4,159.14,484.53,25.43,133.61,347.67,4.4,4.51,3.21,8.95,9.16,14.67,21.02,8.75,281504.94,288759517.4,3205246227.23,0,0,939009.01,1345009377.65,8747544903.45,100%,100%,100%,100%,100%,100%,100%,100%,4,4,4
08:55:24,45,50,15,43,45,94,141,50,2880000,3200000000,15000000000,0,0,6016000,9024000000,50000000000,97.87,797.4,7427.13,16.74,63.98,25.8,470.92,6210.48,97.8,346.96,364.27,16.72,63.98,25.53,54.38,61.46,8.55,10.74,2.87,9.26,9.66,18.93,29.71,9.89,547055.15,687327860.31,2869140435.78,0,0,1211584.53,1901436986.26,9885249938.54,100%,100%,100%,100%,100%,100%,100%,100%,5,5,5
08:55:29,26,28,5,26,25,63,64,34,1664000,1792000000,5000000000,0,0,4032000,4096000000,34000000000,227.04,828.11,10258.2,27.85,59.36,33.25,449.55,6474.03,226.96,301.68,1019.4,27.85,59.36,32.97,57.22,72.18,4.73,4.87,0.95,4.69,4.49,11.56,11.69,6.04,302881.88,311403657.61,945168430.7,0,0,740090.54,748269901.05,6040934200.06,100%,100%,100%,100%,100%,100%,100%,100%,6,6,6
08:55:34,26,18,10,29,28,73,64,39,1664000,1152000000,10000000000,0,0,4672000,4096000000,39000000000,519.27,1200.17,10395.2,23.52,55.39,26.7,418.03,7263.44,519.27,576.94,323.2,23.52,55.39,26.42,51.33,98.1,5.26,3.49,1.96,5.78,5.55,15.04,13.18,8.37,336829.76,223110250.75,1961549487.45,0,0,962787.84,843536395.83,8371078791.74,100%,100%,100%,100%,100%,100%,100%,100%,7,7,7
08:55:39,31,20,17,39,27,91,82,36,1984000,1280000000,17000000000,0,0,5824000,5248000000,36000000000,127.77,812.5,10436.76,383.59,52.85,202.44,1352.83,6236.83,127.74,412.55,553.53,383.59,52.85,202.21,893.79,71.56,6.47,4.38,3.38,8.89,5.84,18.91,17.48,7.75,414119.68,280543576.98,3381875859.95,0,0,1210380.03,1118566686.49,7753244066.4,100%,100%,100%,100%,100%,100%,100%,100%,8,8,8
08:55:44,17,25,9,33,26,64,66,30,1088000,1600000000,9000000000,0,0,4096000,4224000000,30000000000,60.88,885.2,11200.67,31.42,57.23,33.7,556.95,7710.5,60.76,385.88,1502.67,31.42,57.23,30.33,68.74,96.73,3.03,4.56,1.74,5.71,4.63,11.51,11.26,5.18,193876.84,292081938.83,1736667996.46,0,0,736594.41,720757929.04,5176366155.83,100%,100%,100%,100%,100%,100%,100%,100%,9,9,9
