Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init_containers,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2017-12-22 08:45:18,booting @ 2017-12-22 08:45:18,submitting @ 2017-12-22 08:45:18,authing @ 2017-12-22 08:45:18,launching @ 2017-12-22 08:45:33,running @ 2017-12-22 08:45:33,closing @ 2017-12-22 08:47:59,completed @ 2017-12-22 08:47:59
s2-no_failure,1-write-write,write,1534,98176000,204.65,204.57,90,160,270,440,1440,33640,5.18,331328.19,100%,completed,waiting @ 2017-12-22 08:45:18,booting @ 2017-12-22 08:48:01,submitting @ 2017-12-22 08:48:00,authing @ 2017-12-22 08:48:00,launching @ 2017-12-22 08:48:15,running @ 2017-12-22 08:48:16,closing @ 2017-12-22 08:53:26,completed @ 2017-12-22 08:53:26
s2-no_failure,2-write-write,write,1473,94272000000,989.02,368.19,830,1140,1490,2050,4420,39480,4.97,318098141.64,100%,completed,waiting @ 2017-12-22 08:45:18,booting @ 2017-12-22 08:48:01,submitting @ 2017-12-22 08:48:00,authing @ 2017-12-22 08:48:00,launching @ 2017-12-22 08:48:15,running @ 2017-12-22 08:48:16,closing @ 2017-12-22 08:53:26,completed @ 2017-12-22 08:53:26
s2-no_failure,3-write-write,write,701,701000000000,9500.81,472.93,9740,11750,13530,14650,17780,26950,2.37,2365868806.87,100%,completed,waiting @ 2017-12-22 08:45:18,booting @ 2017-12-22 08:48:01,submitting @ 2017-12-22 08:48:00,authing @ 2017-12-22 08:48:00,launching @ 2017-12-22 08:48:15,running @ 2017-12-22 08:48:16,closing @ 2017-12-22 08:53:26,completed @ 2017-12-22 08:53:26
s2-no_failure,1-list-list,list,1963,0,156.37,156.37,30,50,80,130,720,28990,6.63,0,100%,completed,waiting @ 2017-12-22 08:45:18,booting @ 2017-12-22 08:48:01,submitting @ 2017-12-22 08:48:00,authing @ 2017-12-22 08:48:00,launching @ 2017-12-22 08:48:15,running @ 2017-12-22 08:48:16,closing @ 2017-12-22 08:53:26,completed @ 2017-12-22 08:53:26
s2-no_failure,1-delete-delete,delete,1853,0,99.37,99.37,50,70,80,120,350,24300,6.25,0,100%,completed,waiting @ 2017-12-22 08:45:18,booting @ 2017-12-22 08:48:01,submitting @ 2017-12-22 08:48:00,authing @ 2017-12-22 08:48:00,launching @ 2017-12-22 08:48:15,running @ 2017-12-22 08:48:16,closing @ 2017-12-22 08:53:26,completed @ 2017-12-22 08:53:26
s2-no_failure,1-read-read,read,4420,282880000,149.34,148.18,30,60,90,140,730,36700,14.92,954618.7,100%,completed,waiting @ 2017-12-22 08:45:18,booting @ 2017-12-22 08:48:01,submitting @ 2017-12-22 08:48:00,authing @ 2017-12-22 08:48:00,launching @ 2017-12-22 08:48:15,running @ 2017-12-22 08:48:16,closing @ 2017-12-22 08:53:26,completed @ 2017-12-22 08:53:26
s2-no_failure,2-read-read,read,4392,281088000000,637.91,154.22,550,760,980,1260,2800,28900,14.82,948604045.99,100%,completed,waiting @ 2017-12-22 08:45:18,booting @ 2017-12-22 08:48:01,submitting @ 2017-12-22 08:48:00,authing @ 2017-12-22 08:48:00,launching @ 2017-12-22 08:48:15,running @ 2017-12-22 08:48:16,closing @ 2017-12-22 08:53:26,completed @ 2017-12-22 08:53:26
s2-no_failure,3-read-read,read,2229,2229000000000,7196.01,170.08,7850,9400,10570,11430,13320,46000,7.52,7520864912.93,100%,completed,waiting @ 2017-12-22 08:45:18,booting @ 2017-12-22 08:48:01,submitting @ 2017-12-22 08:48:00,authing @ 2017-12-22 08:48:00,launching @ 2017-12-22 08:48:15,running @ 2017-12-22 08:48:16,closing @ 2017-12-22 08:53:26,completed @ 2017-12-22 08:53:26
delay,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,completed,waiting @ 2017-12-22 08:45:18,sleeping @ 2017-12-22 08:53:29,completed @ 2017-12-22 08:54:29
s4-osd_failure,1-write-write,write,3000,192000000,187.34,187.26,70,120,200,380,2760,31480,5.05,323052.41,100%,completed,waiting @ 2017-12-22 08:45:18,booting @ 2017-12-22 08:54:29,submitting @ 2017-12-22 08:54:29,authing @ 2017-12-22 08:54:29,launching @ 2017-12-22 08:54:51,running @ 2017-12-22 08:54:51,closing @ 2017-12-22 09:05:07,completed @ 2017-12-22 09:05:07
s4-osd_failure,2-write-write,write,3088,197632000000,1027.99,444.07,730,1140,1900,2850,5820,38350,5.2,332612522.91,100%,completed,waiting @ 2017-12-22 08:45:18,booting @ 2017-12-22 08:54:29,submitting @ 2017-12-22 08:54:29,authing @ 2017-12-22 08:54:29,launching @ 2017-12-22 08:54:51,running @ 2017-12-22 08:54:51,closing @ 2017-12-22 09:05:07,completed @ 2017-12-22 09:05:07
s4-osd_failure,3-write-write,write,1418,1418000000000,11098.44,584.26,11420,13980,15990,17940,22570,48380,2.39,2385109685.85,100%,completed,waiting @ 2017-12-22 08:45:18,booting @ 2017-12-22 08:54:29,submitting @ 2017-12-22 08:54:29,authing @ 2017-12-22 08:54:29,launching @ 2017-12-22 08:54:51,running @ 2017-12-22 08:54:51,closing @ 2017-12-22 09:05:07,completed @ 2017-12-22 09:05:07
s4-osd_failure,1-list-list,list,3806,0,121.81,121.81,10,30,60,90,590,34740,6.4,0,100%,completed,waiting @ 2017-12-22 08:45:18,booting @ 2017-12-22 08:54:29,submitting @ 2017-12-22 08:54:29,authing @ 2017-12-22 08:54:29,launching @ 2017-12-22 08:54:51,running @ 2017-12-22 08:54:51,closing @ 2017-12-22 09:05:07,completed @ 2017-12-22 09:05:07
s4-osd_failure,1-delete-delete,delete,3777,0,147.78,147.78,50,60,80,100,370,37590,6.36,0,100%,completed,waiting @ 2017-12-22 08:45:18,booting @ 2017-12-22 08:54:29,submitting @ 2017-12-22 08:54:29,authing @ 2017-12-22 08:54:29,launching @ 2017-12-22 08:54:51,running @ 2017-12-22 08:54:51,closing @ 2017-12-22 09:05:07,completed @ 2017-12-22 09:05:07
s4-osd_failure,1-read-read,read,9216,589824000,116.14,115.05,20,40,70,110,540,38050,15.51,992593.93,100%,completed,waiting @ 2017-12-22 08:45:18,booting @ 2017-12-22 08:54:29,submitting @ 2017-12-22 08:54:29,authing @ 2017-12-22 08:54:29,launching @ 2017-12-22 08:54:51,running @ 2017-12-22 08:54:51,closing @ 2017-12-22 09:05:07,completed @ 2017-12-22 09:05:07
s4-osd_failure,2-read-read,read,9123,583872000000,579.23,129.81,440,630,850,1270,3780,39130,15.35,982470433.53,100%,completed,waiting @ 2017-12-22 08:45:18,booting @ 2017-12-22 08:54:29,submitting @ 2017-12-22 08:54:29,authing @ 2017-12-22 08:54:29,launching @ 2017-12-22 08:54:51,running @ 2017-12-22 08:54:51,closing @ 2017-12-22 09:05:07,completed @ 2017-12-22 09:05:07
s4-osd_failure,3-read-read,read,4531,4531000000000,6664.86,148.17,7190,8670,9840,11080,13930,45360,7.62,7624518947.41,100%,completed,waiting @ 2017-12-22 08:45:18,booting @ 2017-12-22 08:54:29,submitting @ 2017-12-22 08:54:29,authing @ 2017-12-22 08:54:29,launching @ 2017-12-22 08:54:51,running @ 2017-12-22 08:54:51,closing @ 2017-12-22 09:05:07,completed @ 2017-12-22 09:05:07
delay,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,completed,waiting @ 2017-12-22 08:45:18,sleeping @ 2017-12-22 09:05:09,completed @ 2017-12-22 09:06:09
node_failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,terminated,waiting @ 2017-12-22 08:45:18,booting @ 2017-12-22 09:06:09,submitting @ 2017-12-22 09:06:09,authing @ 2017-12-22 09:06:09,terminated @ 2017-12-22 09:06:39
