"network_Mbits_sec"
"null","p4p2-tx (null)","p4p2-rx (null)","lo-tx (null)","lo-rx (null)","em1-rx (null)","em2-rx (null)","em1-tx (null)","em3-tx (null)","em4-rx (null)","em3-rx (null)","em2-tx (null)","p4p1-rx (null)","p4p1-tx (null)","em4-tx (null)"
1499136562000,1.38944512,1.41131776,0.36397056,0.36397056,0.01744896,0.00024576,0.00630784,0,0,0,0,0,0,0,
1499136572000,1.4180352,1.4401536,0.35610624,0.35610624,0.00598016,0.00024576,0.00106496,0,0,0,0,0,0,0,
1499136582000,1.45686528,1.47750912,0.38764544,0.38764544,0.00319488,0.00024576,0,0,0,0,0,0,0,0,
1499136592000,1.79699712,1.53493504,0.39739392,0.39739392,0.00360448,0.00065536,0,0,0,0,0,0,0,0,
1499136602000,1.70549248,1.62496512,0.436224,0.436224,0.00311296,0.00024576,0,0,0,0,0,0,0,0,
1499136612000,1.45432576,1.47365888,0.35422208,0.35422208,0.00401408,0.00024576,0,0,0,0,0,0,0,0,
1499136622000,5690.05613056,1977.18679552,564.50342912,564.50342912,0.00335872,0.00024576,0,0,0,0,0,0,0,0,
1499136632000,7308.44389376,2521.69641984,754.03329536,754.03329536,0.008192,0.00024576,0.00008192,0,0,0,0,0,0,0,
1499136642000,7311.43651328,2513.75763456,733.76538624,733.76538624,0.00638976,0.00024576,0.00008192,0,0,0,0,0,0,0,
1499136652000,7427.77913344,2610.78810624,755.66186496,755.66186496,0.00335872,0.00065536,0,0,0,0,0,0,0,0,
1499136662000,7394.46833152,2492.37504,790.4677888,790.4677888,0.00311296,0.00024576,0,0,0,0,0,0,0,0,
1499136672000,7180.8372736,2429.06578944,722.6359808,722.6359808,0.0032768,0.00024576,0,0,0,0,0,0,0,0,
1499136682000,7172.24329216,2412.2667008,734.9182464,734.9182464,0.00311296,0.00024576,0,0,0,0,0,0,0,0,
1499136692000,7333.51657472,2536.00710656,743.85145856,743.85145856,0.00344064,0.00024576,0.00024576,0,0,0,0,0,0,0,
1499136702000,7298.63921664,2516.63384576,738.30866944,738.30866944,0.00311296,0.00024576,0,0,0,0,0,0,0,0,
1499136712000,7229.1250176,2485.3127168,713.03364608,713.03364608,0.00360448,0.00065536,0,0,0,0,0,0,0,0,
1499136722000,7101.58114816,2437.16825088,728.77047808,728.77047808,0.00335872,0.00024576,0,0,0,0,0,0,0,0,
1499136732000,6901.10865408,2321.07671552,693.45206272,693.45206272,0.00319488,0.00024576,0.00008192,0,0,0,0,0,0,0,
1499136742000,6976.48242688,2336.26771456,666.47343104,666.47343104,0.00319488,0.00024576,0.00016384,0,0,0,0,0,0,0,
1499136752000,7235.68861184,2532.31407104,727.05957888,727.05957888,0.0032768,0.00024576,0.00008192,0,0,0,0,0,0,0,
1499136762000,7072.05234688,2434.07069184,732.11609088,732.11609088,0.00311296,0.00024576,0,0,0,0,0,0,0,0,
1499136772000,6989.59847424,2358.29379072,726.5632256,726.5632256,0.00344064,0.00065536,0.00008192,0,0,0,0,0,0,0,
1499136782000,7211.35468544,2390.70363648,795.4489344,795.4489344,0.00319488,0.00024576,0.00016384,0,0,0,0,0,0,0,
1499136792000,7315.396608,2491.05956864,778.6504192,778.6504192,0.00311296,0.00024576,0,0,0,0,0,0,0,0,
1499136802000,7200.55484416,2464.8605696,736.01777664,736.01777664,0.00311296,0.00024576,0.00008192,0,0,0,0,0,0,0,
1499136812000,6907.68551936,2327.62212352,697.92350208,697.92350208,0.0032768,0.00024576,0.00016384,0,0,0,0,0,0,0,
1499136822000,7221.67791616,2490.69961216,750.68448768,750.68448768,0.00434176,0.00024576,0,0,0,0,0,0,0,0,
1499136832000,7406.92893696,2629.8785792,714.8089344,714.8089344,0.00352256,0.00065536,0,0,0,0,0,0,0,0,
1499136842000,6889.80893696,2394.75679232,694.49138176,694.49138176,0.0032768,0.00024576,0.00016384,0,0,0,0,0,0,0,
1499136852000,7111.18405632,2441.46741248,731.5030016,731.5030016,0.0036864,0.00024576,0,0,0,0,0,0,0,0,
1499136862000,7388.03867648,2567.59496704,742.75405824,742.75405824,0.00360448,0.00024576,0,0,0,0,0,0,0,0,
1499136872000,7073.314816,2427.50840832,713.64108288,713.64108288,0.00344064,0.00024576,0.00032768,0,0,0,0,0,0,0,
1499136882000,7210.18355712,2491.20923648,723.66800896,723.66800896,0.0032768,0.00024576,0,0,0,0,0,0,0,0,
1499136892000,7064.55363584,2417.40611584,743.92895488,743.92895488,0.00352256,0.00065536,0,0,0,0,0,0,0,0,
1499136902000,7061.34892544,2377.63248128,733.78480128,733.78480128,0.00352256,0.00024576,0.00008192,0,0,0,0,0,0,0,
1499136912000,7095.36063488,2425.40896256,761.84297472,761.84297472,0.0045056,0.00024576,0.00016384,0,0,0,0,0,0,0,
1499136922000,7154.489344,2457.01533696,727.1419904,727.1419904,0.00311296,0.00024576,0,0,0,0,0,0,0,0,
1499136932000,7236.53107712,2544.41095168,734.96666112,734.96666112,0.00376832,0.00024576,0.00008192,0,0,0,0,0,0,0,
1499136942000,6966.4894976,2424.82020352,686.68547072,686.68547072,0.00376832,0.00024576,0.00008192,0,0,0,0,0,0,0,
1499136952000,7052.09737216,2429.58155776,704.694272,704.694272,0.00360448,0.00065536,0,0,0,0,0,0,0,0,
1499136962000,7017.21329664,2385.28421888,696.78292992,696.78292992,0.00352256,0.00024576,0.00008192,0,0,0,0,0,0,0,
1499136972000,7200.83296256,2473.47617792,716.9970176,716.9970176,0.0032768,0.00024576,0,0,0,0,0,0,0,0,
1499136982000,6975.91832576,2473.88717056,668.70648832,668.70648832,0.00376832,0.00024576,0,0,0,0,0,0,0,0,
1499136992000,7028.62327808,2422.245376,702.37929472,702.37929472,0.00376832,0.00024576,0.00032768,0,0,0,0,0,0,0,
1499137002000,7306.28538368,2578.58256896,684.42669056,684.42669056,0.00319488,0.00024576,0.00008192,0,0,0,0,0,0,0,
1499137012000,7250.0109312,2461.93184768,767.4732544,767.4732544,0.0036864,0.00065536,0,0,0,0,0,0,0,0,
1499137022000,7225.68544256,2400.91004928,768.56516608,768.56516608,0.00303104,0.00024576,0,0,0,0,0,0,0,0,
1499137032000,7245.11588352,2485.83176192,744.04773888,744.04773888,0.00319488,0.00024576,0,0,0,0,0,0,0,0,
1499137042000,7239.06469888,2483.88100096,729.53757696,729.53757696,0.00294912,0.00024576,0,0,0,0,0,0,0,0,
1499137052000,7423.0079488,2609.73944832,751.97308928,751.97308928,0.00311296,0.00024576,0.00008192,0,0,0,0,0,0,0,
1499137062000,7190.15673856,2436.88685568,723.92155136,723.92155136,0.00319488,0.00024576,0.00008192,0,0,0,0,0,0,0,
