"network_Mbits_sec"
"null","p4p2-tx (null)","p4p2-rx (null)","lo-tx (null)","lo-rx (null)","em1-rx (null)","em2-rx (null)","em1-tx (null)","em3-tx (null)","em4-rx (null)","em3-rx (null)","em2-tx (null)","p4p1-rx (null)","p4p1-tx (null)","em4-tx (null)"
1499267982000,1.21069568,1.22667008,0.01425408,0.01425408,0.01409024,0.00024576,0.00524288,0,0,0,0,0,0,0,
1499267992000,1.13385472,1.15081216,0.0135168,0.0135168,0.00589824,0.00065536,0.00098304,0,0,0,0,0,0,0,
1499268002000,1.25206528,1.26861312,0.01335296,0.01335296,0.0036864,0.00024576,0.00008192,0,0,0,0,0,0,0,
1499268012000,1.4884864,1.29777664,0.01458176,0.01458176,0.00319488,0.00024576,0.00008192,0,0,0,0,0,0,0,
1499268022000,1.29097728,1.0457088,0.01318912,0.01318912,0.0032768,0.00024576,0,0,0,0,0,0,0,0,
1499268032000,1.24141568,1.25894656,0.01417216,0.01417216,0.00360448,0.00024576,0,0,0,0,0,0,0,0,
1499268042000,5411.17300736,12.36221952,0.01409024,0.01409024,0.00311296,0.00024576,0,0,0,0,0,0,0,0,
1499268052000,5629.63365888,13.37286656,0.0155648,0.0155648,0.0032768,0.00065536,0,0,0,0,0,0,0,0,
1499268062000,5634.63225344,13.78566144,0.01507328,0.01507328,0.00360448,0.00024576,0,0,0,0,0,0,0,0,
1499268072000,5557.42355456,13.57488128,0.0139264,0.0139264,0.00311296,0.00024576,0,0,0,0,0,0,0,0,
1499268082000,5455.2633344,12.44356608,0.0147456,0.0147456,0.00344064,0.00024576,0,0,0,0,0,0,0,0,
1499268092000,5533.56746752,12.51500032,0.01409024,0.01409024,0.00376832,0.00024576,0,0,0,0,0,0,0,0,
1499268102000,5577.55424768,12.664832,0.01261568,0.01261568,0.00344064,0.00024576,0,0,0,0,0,0,0,0,
1499268112000,5514.68490752,13.07754496,0.0135168,0.0135168,0.00335872,0.00065536,0,0,0,0,0,0,0,0,
1499268122000,5518.21467648,13.14504704,0.01449984,0.01449984,0.00344064,0.00024576,0,0,0,0,0,0,0,0,
1499268132000,5641.02627328,14.14152192,0.01458176,0.01458176,0.00319488,0.00024576,0,0,0,0,0,0,0,0,
1499268142000,5694.30474752,13.73782016,0.01564672,0.01564672,0.00335872,0.00024576,0,0,0,0,0,0,0,0,
1499268152000,5534.65348096,12.50942976,0.0155648,0.0155648,0.00303104,0.00024576,0,0,0,0,0,0,0,0,
1499268162000,5568.05840896,13.09474816,0.01384448,0.01384448,0.00319488,0.00024576,0,0,0,0,0,0,0,0,
1499268172000,5369.65742592,12.98890752,0.01548288,0.01548288,0.00311296,0.00065536,0,0,0,0,0,0,0,0,
1499268182000,5618.38186496,12.74896384,0.01499136,0.01499136,0.00335872,0.00024576,0,0,0,0,0,0,0,0,
1499268192000,5265.68316928,11.42276096,0.014336,0.014336,0.00311296,0.00024576,0,0,0,0,0,0,0,0,
1499268202000,5383.35461376,11.83080448,0.014336,0.014336,0.0032768,0.00024576,0,0,0,0,0,0,0,0,
1499268212000,5492.02190336,12.10302464,0.01589248,0.01589248,0.00319488,0.00024576,0,0,0,0,0,0,0,0,
1499268222000,5600.3162112,12.67335168,0.01458176,0.01458176,0.00311296,0.00024576,0,0,0,0,0,0,0,0,
1499268232000,5443.63954176,12.26694656,0.0155648,0.0155648,0.00303104,0.00065536,0,0,0,0,0,0,0,0,
1499268242000,5563.40502528,13.03109632,0.01523712,0.01523712,0.00475136,0.00024576,0,0,0,0,0,0,0,0,
1499268252000,5439.0493184,12.27177984,0.01425408,0.01425408,0.00319488,0.00024576,0.00008192,0,0,0,0,0,0,0,
1499268262000,5408.90431488,12.56710144,0.01425408,0.01425408,0.00311296,0.00024576,0.00016384,0,0,0,0,0,0,0,
1499268272000,5561.42354432,12.04232192,0.01499136,0.01499136,0.0032768,0.00024576,0,0,0,0,0,0,0,0,
1499268282000,4963.47398144,11.47551744,0.01245184,0.01245184,0.01122304,0.00024576,0,0,0,0,0,0,0,0,
